IDENTIFICATION,BIRTHDAY,NAME,DIPLOMDATE,DIPLOMTYPE,DIPLOMMENTION,DIPLOMPERCENTAGE,DIPLOMSECTION,DIPLOMOPTION,DIPLOMPLACE,SCHOOL,SCHOOLPROVINCE,SCHOOLCODE,SCHOOLSTATUS,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
5776,1977-07-07,H,2001-04-30,DIPLÔME D'ETAT,,55,PED,PG,KIN,KATWA,NORD-KIVU,KATWA,inconnu,2014-2015,,ADMIS AU MEMOIRE,64.19999694824219,SATISFACTION,Faculté de Théologie,Tronc commun,L2
5850,1989-12-12,F,,inconnu,,53,TEC AGR,NUTRITION,,ITAV BBO,NORD-KIVU,ITAV BBO,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,61.0,SATISFACTION,Faculté de Santé et Développement Communautaires,Gestion et Administration des Projets de Santé,L2
5918,1986-04-17,H,2007-12-30,DIPLÔME D'ETAT,,52,PEDAGOGIEQUE,PEDA GENERALE,KIN,TULIA ASODE,NORD-KIVU,TULIA ASODE,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,64.4000015258789,SATISFACTION,Faculté de Droit,Droit Public,L2
6134,1989-09-16,H,,inconnu,,60,PED,PPG,,NURU,NORD-KIVU,NURU,inconnu,2013-2014,41.29999923706055,ASSIMILE AUX AJOURNES,48.599998474121094,AJOURNE,Faculté de Droit,Droit Privé et Judiciaire,G3
6134,1989-09-16,H,,inconnu,,60,PED,PPG,,NURU,NORD-KIVU,NURU,inconnu,2014-2015,55.099998474121094,AJOURNE,55.099998474121094,SATISFACTION,Faculté de Droit,Droit Privé et Judiciaire,G3
6134,1989-09-16,H,,inconnu,,60,PED,PPG,,NURU,NORD-KIVU,NURU,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,47.0,AJOURNE,Faculté de Droit,Droit Privé et Judiciaire,L1
6135,1989-12-01,H,,inconnu,,58,SC,MP,,FRERE ALIMBA,KINSHASA,FRERE ALIMBA,inconnu,2013-2014,50.599998474121094,AJOURNE,55.20000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Monétaire,L1
6135,1989-12-01,H,,inconnu,,58,SC,MP,,FRERE ALIMBA,KINSHASA,FRERE ALIMBA,inconnu,2014-2015,58.29999923706055,AJOURNE,60.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Monétaire,L2
6136,1990-11-11,H,,inconnu,,57,TEC,CA,,ISIDORE BAKANDJA,NORD-KIVU,ISIDORE BAKANDJA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,58.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
6138,1989-08-21,H,,inconnu,,52,TEC,SOCIALE,,UZIMA,NORD-KIVU,UZIMA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,54.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Microfinance et Banque,L1
6138,1989-08-21,H,,inconnu,,52,TEC,SOCIALE,,UZIMA,NORD-KIVU,UZIMA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,57.29999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Microfinance et Banque,L2
6140,1987-02-03,H,,inconnu,,53,TEC,CA,,BUNYANGINGI,NORD-KIVU,BUNYANGINGI,inconnu,2013-2014,49.79999923706055,AJOURNE,58.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6140,1987-02-03,H,,inconnu,,53,TEC,CA,,BUNYANGINGI,NORD-KIVU,BUNYANGINGI,inconnu,2014-2015,53.20000076293945,AJOURNE,59.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6144,1990-02-16,F,,inconnu,,53,TEC,COM INFORMATIQUE,,LYCEE KIMBILIO,NORD-KIVU,LYCEE KIMBILIO,inconnu,2013-2014,53.900001525878906,AJOURNE,58.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6144,1990-02-16,F,,inconnu,,53,TEC,COM INFORMATIQUE,,LYCEE KIMBILIO,NORD-KIVU,LYCEE KIMBILIO,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,60.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6145,1991-04-02,H,,inconnu,,51,TEC,CA,,ESPOIR 1,SUD-KIVU,ESPOIR 1,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,57.099998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
6145,1991-04-02,H,,inconnu,,51,TEC,CA,,ESPOIR 1,SUD-KIVU,ESPOIR 1,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,50.79999923706055,AJOURNE,Faculté des Sciences Économiques et de Gestion,Marketing,L1
6145,1991-04-02,H,,inconnu,,51,TEC,CA,,ESPOIR 1,SUD-KIVU,ESPOIR 1,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,56.0,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Marketing,L1
6149,1990-09-08,F,,inconnu,,59,SC,BC,,MWANGA,NORD-KIVU,MWANGA,inconnu,2013-2014,53.5,AJOURNE,61.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6149,1990-09-08,F,,inconnu,,59,SC,BC,,MWANGA,NORD-KIVU,MWANGA,inconnu,2014-2015,,ADMIS AU STAGE ET AU MEMOIRE,58.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6150,1990-08-22,F,,inconnu,,63,SC,BC,,MWANGA,NORD-KIVU,MWANGA,inconnu,2014-2015,,AJOURNE,64.0999984741211,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6151,1992-07-18,H,,inconnu,,60,TEC,CA,,ESPOIR,SUD-KIVU,ESPOIR,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,59.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
6151,1992-07-18,H,,inconnu,,60,TEC,CA,,ESPOIR,SUD-KIVU,ESPOIR,inconnu,2014-2015,,AJOURNE,63.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
6153,1988-10-09,H,,inconnu,,55,SC,BC,,LYCEE KAZAROHO,SUD-KIVU,LYCEE KAZAROHO,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,56.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
6153,1988-10-09,H,,inconnu,,55,SC,BC,,LYCEE KAZAROHO,SUD-KIVU,LYCEE KAZAROHO,inconnu,2014-2015,52.79999923706055,AJOURNE,57.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
6155,1990-11-30,H,,inconnu,,58,TEC,CA,,MGR KAQTALIKO,NORD-KIVU,MGR KAQTALIKO,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6157,1991-11-11,H,,inconnu,,60,SC,BC,,UMOJA I FS,inconnu,UMOJA I FS,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,59.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6157,1991-11-11,H,,inconnu,,60,SC,BC,,UMOJA I FS,inconnu,UMOJA I FS,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,59.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6159,1990-12-20,H,,inconnu,,54,TEC,CA,,METANOIA,NORD-KIVU,METANOIA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,56.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
6161,1990-12-24,H,,inconnu,,0,inconnu,inconnu,,,inconnu,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,55.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6161,1990-12-24,H,,inconnu,,0,inconnu,inconnu,,,inconnu,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,60.0,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6165,1992-06-26,F,,inconnu,,51,TEC,SOC,,LYCEE CHEMCHEM,NORD-KIVU,LYCEE CHEMCHEM,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6166,1989-04-03,F,,inconnu,,50,PED,PG,,BUTURANDE,NORD-KIVU,BUTURANDE,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6170,1990-12-09,F,,inconnu,,56,PED,PG,,METANOIA,NORD-KIVU,METANOIA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,57.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6170,1990-12-09,F,,inconnu,,56,PED,PG,,METANOIA,NORD-KIVU,METANOIA,inconnu,2014-2015,,AJOURNE,61.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6171,1991-07-12,F,,inconnu,,52,PED,PG,,METANOIA,NORD-KIVU,METANOIA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,55.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Monétaire,L1
6171,1991-07-12,F,,inconnu,,52,PED,PG,,METANOIA,NORD-KIVU,METANOIA,inconnu,2014-2015,,AJOURNE,60.099998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Monétaire,L2
6172,1989-08-23,F,,inconnu,,53,SC,BC,,KYESHERO,NORD-KIVU,KYESHERO,inconnu,2013-2014,54.20000076293945,AJOURNE,59.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
6172,1989-08-23,F,,inconnu,,53,SC,BC,,KYESHERO,NORD-KIVU,KYESHERO,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,55.29999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6172,1989-08-23,F,,inconnu,,53,SC,BC,,KYESHERO,NORD-KIVU,KYESHERO,inconnu,2015-2016,53.099998474121094,AJOURNE,59.20000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6176,1984-04-12,H,,inconnu,,52,TEC,CA,,NURU,NORD-KIVU,NURU,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,54.29999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
6176,1984-04-12,H,,inconnu,,52,TEC,CA,,NURU,NORD-KIVU,NURU,inconnu,2014-2015,56.20000076293945,AJOURNE,59.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
6178,1987-09-08,H,2007-12-30,DIPLÔME D'ETAT,,53,PED,PG,KIN,LYCEE ANUARITE,NORD-KIVU,LYCEE ANUARITE,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6182,1991-07-12,H,,inconnu,,61,SC,MP,,ALFAJIRI,SUD-KIVU,ALFAJIRI,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,62.099998474121094,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Électrique,G3
6182,1991-07-12,H,,inconnu,,61,SC,MP,,ALFAJIRI,SUD-KIVU,ALFAJIRI,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,72.0,DISTINCTION,Faculté des Sciences et Technologies Appliquées,Génie Informatique,Tech1
6182,1991-07-12,H,,inconnu,,61,SC,MP,,ALFAJIRI,SUD-KIVU,ALFAJIRI,inconnu,2015-2016,,ADMIS AU STAGE ET AU MEMOIRE,,ADMIS AU STAGE ET AU MEMOIRE,Faculté des Sciences et Technologies Appliquées,Génie Informatique,Tech2
6183,1993-07-01,H,,inconnu,,67,SC,BC,,ISIDORE BAKANDJA,NORD-KIVU,ISIDORE BAKANDJA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,66.80000305175781,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Informatique,G3
6183,1993-07-01,H,,inconnu,,67,SC,BC,,ISIDORE BAKANDJA,NORD-KIVU,ISIDORE BAKANDJA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,67.0999984741211,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Informatique,Tech1
6183,1993-07-01,H,,inconnu,,67,SC,BC,,ISIDORE BAKANDJA,NORD-KIVU,ISIDORE BAKANDJA,inconnu,2015-2016,,ADMIS AU STAGE ET AU MEMOIRE,,ADMIS AU MEMOIRE,Faculté des Sciences et Technologies Appliquées,Génie Informatique,Tech2
6184,1989-10-27,H,,inconnu,,51,SC,BC,,DE GOMA,NORD-KIVU,DE GOMA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,57.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
6184,1989-10-27,H,,inconnu,,51,SC,BC,,DE GOMA,NORD-KIVU,DE GOMA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,52.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Monétaire,L1
6184,1989-10-27,H,,inconnu,,51,SC,BC,,DE GOMA,NORD-KIVU,DE GOMA,inconnu,2015-2016,,ADMIS AU STAGE ET AU MEMOIRE,57.29999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Monétaire,L2
6195,1990-09-25,H,,inconnu,,55,SC,MP,,DE GOMA,NORD-KIVU,DE GOMA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,47.400001525878906,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,G2
6195,1990-09-25,H,,inconnu,,55,SC,MP,,DE GOMA,NORD-KIVU,DE GOMA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté des Sciences et Technologies Appliquées,Génie Civil,G2
6196,1992-01-06,H,,inconnu,,70,SC,MP,,MWANGA,SUD-KIVU,MWANGA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,69.30000305175781,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G3
6196,1992-01-06,H,,inconnu,,70,SC,MP,,MWANGA,SUD-KIVU,MWANGA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,67.80000305175781,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech1
6196,1992-01-06,H,,inconnu,,70,SC,MP,,MWANGA,SUD-KIVU,MWANGA,inconnu,2015-2016,,ADMIS AU MEMOIRE,,ADMIS AU MEMOIRE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
6204,1986-05-15,H,,DIPLÔME D'ETAT,,51,Pédagogique,Pédagogie Générale,,Msawato,NORD-KIVU,,inconnu,2013-2014,,AJOURNE,64.0,SATISFACTION,Faculté de Droit,Droit Privé et Judiciaire,L2
6207,1990-10-27,H,,inconnu,,56,TEC,SOCIALE,,MAENDELEO,NORD-KIVU,MAENDELEO,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,49.70000076293945,AJOURNE,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6208,1987-02-14,H,,inconnu,,61,SC,MP,,ETOILE,SUD-KIVU,ETOILE,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,56.099998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Industrielle,L1
6208,1987-02-14,H,,inconnu,,61,SC,MP,,ETOILE,SUD-KIVU,ETOILE,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,57.20000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Industrielle,L2
6209,1992-08-18,F,,inconnu,,51,TEC AGR,NUTRITION,,LYCEE CHEMCHEM,NORD-KIVU,LYCEE CHEMCHEM,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,59.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
6209,1992-08-18,F,,inconnu,,51,TEC AGR,NUTRITION,,LYCEE CHEMCHEM,NORD-KIVU,LYCEE CHEMCHEM,inconnu,2014-2015,,AJOURNE,63.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
6213,1991-03-17,H,,inconnu,,53,PED,PG,,RUFUNDA,NORD-KIVU,RUFUNDA,inconnu,2013-2014,58.70000076293945,AJOURNE,61.5,SATISFACTION,Faculté de Santé et Développement Communautaires,Santé Communautaire,L1
6213,1991-03-17,H,,inconnu,,53,PED,PG,,RUFUNDA,NORD-KIVU,RUFUNDA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,61.400001525878906,SATISFACTION,Faculté de Santé et Développement Communautaires,Santé Communautaire,L2
6214,1990-12-02,H,,inconnu,,67,SC,MP,,ALFAJIRI,SUD-KIVU,ALFAJIRI,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,64.5,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G3
6214,1990-12-02,H,,inconnu,,67,SC,MP,,ALFAJIRI,SUD-KIVU,ALFAJIRI,inconnu,2015-2016,,ADMIS AU STAGE ET AU MEMOIRE,,ADMIS AU MEMOIRE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
6215,1992-11-19,H,,inconnu,,68,SC,MP,,ALFAJIRI,SUD-KIVU,ALFAJIRI,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,G3
6217,1992-09-08,H,,inconnu,,61,SC,BC,,ZAWADI YA RAHISI,SUD-KIVU,ZAWADI YA RAHISI,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,66.0999984741211,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G3
6217,1992-09-08,H,,inconnu,,61,SC,BC,,ZAWADI YA RAHISI,SUD-KIVU,ZAWADI YA RAHISI,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,67.30000305175781,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech1
6217,1992-09-08,H,,inconnu,,61,SC,BC,,ZAWADI YA RAHISI,SUD-KIVU,ZAWADI YA RAHISI,inconnu,2015-2016,,ADMIS AU STAGE ET AU MEMOIRE,,ADMIS AU MEMOIRE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
6219,1990-06-23,F,,inconnu,,56,TEC,CA,,UJASIRI,NORD-KIVU,UJASIRI,inconnu,2013-2014,51.20000076293945,AJOURNE,58.099998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
6219,1990-06-23,F,,inconnu,,56,TEC,CA,,UJASIRI,NORD-KIVU,UJASIRI,inconnu,2014-2015,58.400001525878906,AJOURNE,62.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
6220,1991-02-23,F,,inconnu,,55,PED,PG,,VISOKE,NORD-KIVU,VISOKE,inconnu,2013-2014,48.599998474121094,AJOURNE,57.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6220,1991-02-23,F,,inconnu,,55,PED,PG,,VISOKE,NORD-KIVU,VISOKE,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,63.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6221,1988-05-07,H,,inconnu,,60,TEC,CA,,LYCEE ANUARITE,NORD-KIVU,LYCEE ANUARITE,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,56.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Microfinance et Banque,L1
6221,1988-05-07,H,,inconnu,,60,TEC,CA,,LYCEE ANUARITE,NORD-KIVU,LYCEE ANUARITE,inconnu,2014-2015,57.79999923706055,AJOURNE,60.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Microfinance et Banque,L2
6223,1989-09-04,H,,inconnu,,51,LIT,LP,,COLL DE LA SAGESSE,BAS CONGO,COLL DE LA SAGESSE,inconnu,2013-2014,55.099998474121094,AJOURNE,60.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Microfinance et Banque,L1
6223,1989-09-04,H,,inconnu,,51,LIT,LP,,COLL DE LA SAGESSE,BAS CONGO,COLL DE LA SAGESSE,inconnu,2014-2015,,ADMIS AU MEMOIRE,61.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Microfinance et Banque,L2
6227,1989-04-06,F,,inconnu,,60,TEC,CA,,MAMA YETU,NORD-KIVU,MAMA YETU,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,60.099998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
6227,1989-04-06,F,,inconnu,,60,TEC,CA,,MAMA YETU,NORD-KIVU,MAMA YETU,inconnu,2014-2015,59.79999923706055,AJOURNE,62.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
6228,1990-09-10,F,,inconnu,,54,SC,MP,,MAJENGO,NORD-KIVU,MAJENGO,inconnu,2013-2014,53.099998474121094,AJOURNE,58.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
6228,1990-09-10,F,,inconnu,,54,SC,MP,,MAJENGO,NORD-KIVU,MAJENGO,inconnu,2014-2015,,AJOURNE,62.20000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
6230,1991-10-06,H,,inconnu,,58,TEC,CA,,MAMA YETU,NORD-KIVU,MAMA YETU,inconnu,2012-2013,,ASSIMILE AUX AJOURNES,55.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
6230,1991-10-06,H,,inconnu,,58,TEC,CA,,MAMA YETU,NORD-KIVU,MAMA YETU,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,58.0,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
6232,1992-07-24,F,,inconnu,,56,TEC,CA,,MAMA YETU,NORD-KIVU,MAMA YETU,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,57.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
6232,1992-07-24,F,,inconnu,,56,TEC,CA,,MAMA YETU,NORD-KIVU,MAMA YETU,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,59.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
6233,1989-08-20,H,,inconnu,,53,SC,BC,,MWANGA,NORD-KIVU,MWANGA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,56.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6233,1989-08-20,H,,inconnu,,53,SC,BC,,MWANGA,NORD-KIVU,MWANGA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,58.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6235,1990-03-30,H,,inconnu,,58,TEC,CA,,ZANNER,NORD-KIVU,ZANNER,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,62.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
6235,1990-03-30,H,,inconnu,,58,TEC,CA,,ZANNER,NORD-KIVU,ZANNER,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,58.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
6236,1991-06-16,H,,inconnu,,55,TEC,CA,,ZANNER,NORD-KIVU,ZANNER,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,58.0,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
6236,1991-06-16,H,,inconnu,,55,TEC,CA,,ZANNER,NORD-KIVU,ZANNER,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,59.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
6239,1991-09-17,H,,inconnu,,57,LIT,LP,,MWANGA,NORD-KIVU,MWANGA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,57.20000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6239,1991-09-17,H,,inconnu,,57,LIT,LP,,MWANGA,NORD-KIVU,MWANGA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,61.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
6241,1991-05-06,F,,inconnu,,52,TEC,CA,,IBANDA,SUD-KIVU,IBANDA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,52.5,AJOURNE,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
6242,1991-11-23,F,,inconnu,,56,PED,PG,,KASABINYOLE,NORD-KIVU,KASABINYOLE,inconnu,2013-2014,61.70000076293945,ASSIMILE AUX AJOURNES,62.20000076293945,SATISFACTION,Faculté de Droit,Droit Économique et Social,L1
6243,1989-12-10,F,,inconnu,,55,LIT,LP,,KAMBALI,NORD-KIVU,KAMBALI,inconnu,2013-2014,57.70000076293945,ASSIMILE AUX AJOURNES,61.0,SATISFACTION,Faculté de Droit,Droit Public,L1
6244,1992-05-05,H,,inconnu,,59,LIT,LP,,MONT GOMA,NORD-KIVU,MONT GOMA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,58.5,SATISFACTION,Faculté de Droit,Droit Privé et Judiciaire,L1
6244,1992-05-05,H,,inconnu,,59,LIT,LP,,MONT GOMA,NORD-KIVU,MONT GOMA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,66.19999694824219,SATISFACTION,Faculté de Droit,Droit Privé et Judiciaire,L2
6246,1991-06-14,H,,inconnu,,65,LIT,LP,,MWANGA,NORD-KIVU,MWANGA,inconnu,2013-2014,50.400001525878906,AJOURNE,55.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Industrielle,L1
6246,1991-06-14,H,,inconnu,,65,LIT,LP,,MWANGA,NORD-KIVU,MWANGA,inconnu,2014-2015,,AJOURNE,60.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Industrielle,L2
6247,1990-02-12,H,,inconnu,,53,SC,MP,,ALFAJIRI,SUD-KIVU,ALFAJIRI,inconnu,2013-2014,,AJOURNE,59.70000076293945,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G3
6247,1990-02-12,H,,inconnu,,53,SC,MP,,ALFAJIRI,SUD-KIVU,ALFAJIRI,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,,ADMIS AU MEMOIRE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
6255,1987-12-18,F,,inconnu,,51,SC,BC,,METANOIA,NORD-KIVU,METANOIA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté de Santé et Développement Communautaires,Santé Environnementale,L1
6256,1990-02-22,F,,inconnu,,54,SC,BC,,METANOIA,NORD-KIVU,METANOIA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,56.20000076293945,AJOURNE,Faculté de Santé et Développement Communautaires,Santé Environnementale,L1
