,IDENTIFICATION,SCHOOLSTATUS,SCHOOL_RIGHT,OPTION_RIGHT,FAC,SCHOOLPROVINCE,BIRTHDAY,GENDER,DIPLOMPERCENTAGE,AGE
983,10762,protestant,metanoia,latin philo,FD,NORD-KIVU,1997-05-30,F,67.0,20
984,10780,protestant,metanoia,commmerciale et adm,FD,NORD-KIVU,1995-09-17,H,53.0,21
985,10783,protestant,metanoia,pedagogie,FM,NORD-KIVU,1994-04-12,H,58.0,23
986,10824,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1994-09-06,H,52.0,22
987,10833,protestant,metanoia,pedagogie,FM,NORD-KIVU,1996-07-27,H,58.0,20
988,11309,protestant,metanoia,latin philo,FSEG,NORD-KIVU,1993-01-09,H,58.0,24
989,11325,protestant,metanoia,latin philo,FD,NORD-KIVU,1995-10-15,H,65.0,21
990,11362,protestant,metanoia,latin philo,FD,NORD-KIVU,1997-03-29,F,64.0,20
991,11364,protestant,metanoia,bio-chimie,FSEG,NORD-KIVU,1997-10-24,H,61.0,19
992,11365,protestant,metanoia,bio-chimie,FSEG,NORD-KIVU,1997-10-24,H,66.0,19
993,11380,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1995-10-25,F,51.0,21
994,11395,protestant,metanoia,latin philo,FD,NORD-KIVU,1997-10-25,H,64.0,19
995,11417,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1996-05-27,H,51.0,21
996,11422,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1996-06-15,F,54.0,21
997,11424,protestant,metanoia,bio-chimie,FD,NORD-KIVU,1997-10-07,F,62.0,19
998,11427,protestant,metanoia,pedagogie,FD,NORD-KIVU,1998-10-18,F,72.0,18
999,11443,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1998-05-19,F,51.0,19
1000,11454,protestant,metanoia,bio-chimie,FSEG,NORD-KIVU,1995-10-09,F,57.0,21
1001,11461,protestant,metanoia,bio-chimie,FM,NORD-KIVU,1997-10-04,F,60.0,19
1002,11484,protestant,metanoia,bio-chimie,FSTA,NORD-KIVU,1998-03-05,H,86.0,19
1003,11485,protestant,metanoia,bio-chimie,FSTA,NORD-KIVU,1997-02-18,H,60.0,20
1004,11511,protestant,metanoia,bio-chimie,FSDC,NORD-KIVU,1995-11-22,F,50.0,21
1005,11527,protestant,metanoia,latin philo,FM,NORD-KIVU,1997-08-28,H,62.0,19
1006,11562,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1996-03-11,H,52.0,21
1007,11573,protestant,metanoia,commmerciale et adm,FD,NORD-KIVU,1992-10-01,H,50.0,24
1008,11584,protestant,metanoia,bio-chimie,FSEG,NORD-KIVU,1995-10-19,H,52.0,21
1009,11603,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1995-02-05,H,54.0,22
1010,11605,protestant,metanoia,latin philo,FPSE,NORD-KIVU,1997-02-27,F,60.0,20
1011,11613,protestant,metanoia,pedagogie,FD,NORD-KIVU,1997-04-16,H,78.0,20
1012,11634,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1996-08-13,H,52.0,20
1013,11644,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1997-05-01,F,54.0,20
1014,11665,protestant,metanoia,pedagogie,FD,NORD-KIVU,1989-08-15,H,56.0,27
1015,11688,protestant,metanoia,latin philo,FD,NORD-KIVU,1997-12-18,F,58.0,19
1016,11701,protestant,metanoia,bio-chimie,FM,NORD-KIVU,1995-07-17,H,60.0,21
1017,11716,protestant,metanoia,pedagogie,FPSE,NORD-KIVU,1996-10-10,F,75.0,20
1018,11718,protestant,metanoia,bio-chimie,FSTA,NORD-KIVU,1997-06-14,H,77.0,20
1019,11722,protestant,metanoia,pedagogie,FM,NORD-KIVU,1997-06-05,F,79.0,20
1020,11749,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1996-11-16,H,50.0,20
1021,11783,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1997-06-04,F,57.0,20
1022,11787,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1995-11-02,F,50.0,21
1023,11805,protestant,metanoia,bio-chimie,FM,NORD-KIVU,1996-06-19,H,52.0,21
1024,11820,protestant,metanoia,latin philo,FSEG,NORD-KIVU,1996-04-02,H,67.0,21
1025,11841,protestant,metanoia,pedagogie,FSEG,NORD-KIVU,1995-08-30,F,65.0,21
1026,11853,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1994-03-27,F,55.0,23
1027,11900,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1996-01-18,H,51.0,21
1028,11983,privé,metanoia,pedagogie,FSDC,NORD-KIVU,1995-12-18,F,65.0,21
1029,12017,privé,metanoia,latin philo,FSTA,NORD-KIVU,1998-01-04,H,63.0,19
1030,12021,protestant,metanoia,latin philo,FSEG,NORD-KIVU,1995-01-21,F,64.0,22
1031,12025,protestant,metanoia,latin philo,FD,NORD-KIVU,1996-05-15,H,72.0,21
1032,12032,protestant,metanoia,latin philo,FD,NORD-KIVU,1998-01-30,F,60.0,19
1033,12051,protestant,metanoia,bio-chimie,FM,NORD-KIVU,1997-02-02,H,72.0,20
1034,12058,protestant,metanoia,commmerciale et adm,FSTA,NORD-KIVU,1996-10-12,H,55.0,20
1035,12135,protestant,metanoia,commmerciale et adm,FSEG,NORD-KIVU,1993-04-15,H,50.0,24
1036,12227,protestant,metanoia,commmerciale et adm,FSTA,NORD-KIVU,1993-08-09,H,65.0,23
1037,12229,protestant,metanoia,bio-chimie,FSTA,NORD-KIVU,1992-11-03,H,62.0,24
1038,10354,privé,tumba,commmerciale et adm,FSEG,NORD-KIVU,1992-07-15,H,65.0,24
1039,10376,privé,tumba,pedagogie,FSEG,NORD-KIVU,1995-12-20,F,62.0,21
1040,10457,privé,tumba,commmerciale et adm,FSTA,NORD-KIVU,1993-07-25,H,59.0,23
1041,10460,privé,tumba,bio-chimie,FSEG,NORD-KIVU,1993-06-05,H,61.0,24
1042,10468,privé,tumba,pedagogie,FD,SUD-KIVU,1993-06-07,H,62.0,24
1043,10525,privé,tumba,pedagogie,FT,ORIENTALE,1960-07-30,H,58.0,56
1044,10742,privé,tumba,pedagogie,FD,NORD-KIVU,1992-08-16,F,58.0,24
1045,10751,privé,tumba,pedagogie,FD,SUD-KIVU,1995-11-20,F,57.0,21
1046,10757,privé,tumba,bio-chimie,FD,NORD-KIVU,1993-06-16,H,58.0,24
1047,11739,privé,tumba,commmerciale et adm,FSEG,NORD-KIVU,1995-09-05,F,58.0,21
1048,4107,publique,namurera,pedagogie,FSTA,SUD-KIVU,1989-09-30,H,56.0,27
1049,4467,publique,namurera,pedagogie,FSEG,SUD-KIVU,1987-03-07,F,61.0,30
1050,6375,publique,namurera,pedagogie,FSEG,SUD-KIVU,1990-02-16,H,51.0,27
1051,8675,publique,namurera,commmerciale et adm,FSEG,SUD-KIVU,1989-06-17,H,56.0,28
1052,9613,publique,namurera,pedagogie,FD,SUD-KIVU,1984-02-01,H,51.0,33
1053,10151,publique,namurera,pedagogie,FSTA,SUD-KIVU,1995-04-07,H,52.0,22
1054,10330,publique,namurera,pedagogie,FD,SUD-KIVU,1989-09-28,H,57.0,27
1055,11513,publique,namurera,pedagogie,FSTA,NORD-KIVU,1995-06-05,H,53.0,22
1056,3635,publique,mabula,pedagogie,FSDC,SUD-KIVU,1986-09-14,H,51.0,30
1057,4643,publique,mabula,pedagogie,FT,SUD-KIVU,1989-04-22,H,53.0,28
1058,12120,publique,mabula,pedagogie,FM,NORD-KIVU,1976-08-26,F,52.0,40
1059,12140,privé,mabula,pedagogie,FM,SUD-KIVU,1995-03-13,H,57.0,22
1060,7027,privé,tisiesi,pedagogie,FPSE,NORD-KIVU,1990-12-24,F,51.0,26
1061,11642,privé,tisiesi,sociale,FD,NORD-KIVU,1994-03-07,H,52.0,23
1062,8139,privé,virunga/quartier,commmerciale et adm,FSEG,NORD-KIVU,1991-08-15,F,55.0,25
1063,11372,privé,virunga/quartier,pedagogie,FD,NORD-KIVU,1994-03-21,F,56.0,23
1064,12020,publique,virunga/quartier,commmerciale et adm,FD,NORD-KIVU,1994-12-08,H,50.0,22
1065,8533,catholique,st etienne,sociale,FSEG,KINSHASA,1993-09-17,H,58.0,23
1066,11590,catholique,st etienne,commmerciale et adm,FSEG,NORD-KIVU,1995-12-05,F,60.0,21
1067,4639,protestant,chidasa,pedagogie,FT,NORD-KIVU,1990-05-01,F,53.0,27
1068,5701,protestant,chidasa,pedagogie,FSEG,SUD-KIVU,1992-02-11,F,58.0,25
1069,7787,protestant,chidasa,latin philo,FSDC,KIGALI,1986-12-13,F,56.8765221107,30
1070,8588,protestant,chidasa,pedagogie,FT,SUD-KIVU,1990-07-31,H,63.0,26
1071,9704,protestant,chidasa,sociale,FD,SUD-KIVU,1989-06-06,H,52.0,28
1072,10202,protestant,chidasa,sociale,FD,NORD-KIVU,1992-01-01,F,50.0,25
1073,10853,protestant,chidasa,math-physique,FSTA,NORD-KIVU,1994-03-03,H,54.0,23
1074,12118,protestant,chidasa,pedagogie,FSTA,SUD-KIVU,1995-10-15,H,64.0,21
1075,4043,privé,de l'unite,latin philo,FD,MANIEMA,1982-06-04,H,50.0,35
1076,9098,privé,de l'unite,commmerciale et adm,FSEG,MANIEMA,1994-04-27,H,52.0,23
1077,10347,privé,de l'unite,sociale,FSTA,SUD-KIVU,1995-11-24,H,53.0,21
1078,11350,privé,de l'unite,sociale,FSTA,NORD-KIVU,1996-04-16,H,54.0,21
1079,11710,privé,de l'unite,mec gene,FSTA,NORD-KIVU,1995-02-25,H,51.0,22
1080,11871,privé,de l'unite,pedagogie,FSTA,NORD-KIVU,1997-08-07,H,57.0,19
1081,12107,catholique,de l'unite,latin philo,FD,MANIEMA,1993-04-30,F,52.0,24
1082,12137,publique,de l'unite,pedagogie,FPSE,SUD-KIVU,1991-02-02,H,61.0,26
1083,7746,catholique,busimba,pedagogie,FD,NORD-KIVU,1992-08-12,H,66.0,24
1084,12081,catholique,busimba,pedagogie,FSTA,NORD-KIVU,1994-01-10,H,53.0,23
1085,3579,protestant,lukanga,pedagogie,FD,NORD-KIVU,1987-07-27,F,63.0,29
1086,3862,protestant,lukanga,commmerciale et adm,FSEG,NORD-KIVU,1988-04-22,H,51.0,29
1087,4238,protestant,lukanga,pedagogie,FSEG,NORD-KIVU,1988-06-11,H,51.0,29
1088,4531,protestant,lukanga,commmerciale et adm,FSEG,NORD-KIVU,1990-01-16,H,51.0,27
1089,5750,protestant,lukanga,bio-chimie,FSEG,NORD-KIVU,1990-02-23,F,51.0,27
1090,6552,protestant,lukanga,pedagogie,FSDC,NORD-KIVU,1990-11-17,H,52.0,26
1091,6949,protestant,lukanga,pedagogie,FSDC,NORD-KIVU,1972-06-17,H,52.0,45
1092,7667,protestant,lukanga,bio-chimie,FSTA,NORD-KIVU,1993-04-09,H,63.0,24
1093,8719,protestant,lukanga,pedagogie,FSDC,NORD-KIVU,1992-02-17,F,60.0,25
1094,8720,protestant,lukanga,pedagogie,FSDC,NORD-KIVU,1992-02-17,F,56.0,25
1095,8758,protestant,lukanga,pedagogie,FD,NORD-KIVU,1992-08-12,H,61.0,24
1096,9263,protestant,lukanga,machine outil,FSTA,NORD-KIVU,1993-08-14,H,57.0,23
1097,9517,protestant,lukanga,mecanique machines outils,FSTA,NORD-KIVU,1994-01-02,H,61.0,23
1098,9610,protestant,lukanga,bio-chimie,FSDC,NORD-KIVU,1989-06-19,F,60.0,28
1099,9630,protestant,lukanga,commerciale informatique,FSEG,NORD-KIVU,1992-05-04,F,50.0,25
1100,10640,protestant,lukanga,elec,FSTA,NORD-KIVU,1994-01-31,H,58.0,23
1101,10786,protestant,lukanga,pedagogie,FSDC,NORD-KIVU,1995-05-12,F,56.8765221107,22
1102,10909,protestant,lukanga,commmerciale et adm,FSEG,NORD-KIVU,1995-04-04,H,50.0,22
1103,10933,protestant,lukanga,pedagogie,FSDC,NORD-KIVU,1990-12-12,F,52.0,26
1104,11597,protestant,lukanga,pedagogie,FSEG,NORD-KIVU,1991-12-28,F,52.0,25
1105,12005,protestant,lukanga,pedagogie,FSDC,NORD-KIVU,1994-08-22,F,52.0,22
1106,3791,protestant,kalungu,pedagogie,FPSE,NORD-KIVU,1961-09-14,F,50.0,55
1107,4333,protestant,kalungu,pedagogie,FSEG,SUD-KIVU,1989-05-25,H,52.0,28
1108,4335,protestant,kalungu,pedagogie,FSEG,NORD-KIVU,1990-07-28,F,56.0,26
1109,4577,protestant,kalungu,pedagogie,FSEG,NORD-KIVU,1988-03-05,H,55.0,29
1110,4766,protestant,kalungu,sociale,FSDC,SUD-KIVU,1990-07-09,F,53.0,27
1111,4854,protestant,kalungu,latin philo,FD,SUD-KIVU,1988-09-07,F,50.0,28
1112,5074,protestant,kalungu,pedagogie,FPSE,SUD-KIVU,1985-05-15,F,55.0,32
1113,6397,protestant,kalungu,pedagogie,FD,SUD-KIVU,1992-08-18,H,53.0,24
1114,6435,protestant,kalungu,sociale,FSDC,SUD-KIVU,1989-10-07,H,55.0,27
1115,6682,protestant,kalungu,latin philo,FD,SUD-KIVU,1988-04-02,H,50.0,29
1116,6739,protestant,kalungu,pedagogie,FT,NORD-KIVU,1980-06-06,H,51.0,37
1117,6745,protestant,kalungu,pedagogie,FT,NORD-KIVU,1983-12-12,H,51.0,33
1118,6755,protestant,kalungu,hotesse d'acceuil,FT,NORD-KIVU,1989-11-26,F,50.0,27
1119,7021,protestant,kalungu,pedagogie,FSEG,SUD-KIVU,1992-12-01,F,62.0,24
1120,7107,protestant,kalungu,pedagogie,FSDC,SUD-KIVU,1988-12-12,H,51.0,28
1121,7151,protestant,kalungu,pedagogie,FSEG,NORD-KIVU,1987-01-19,H,55.0,30
1122,7260,protestant,kalungu,pedagogie,FSEG,SUD-KIVU,1994-10-28,F,56.0,22
1123,7626,protestant,kalungu,pedagogie,FD,SUD-KIVU,1983-10-16,F,52.0,33
1124,7661,protestant,kalungu,latin philo,FSTA,SUD-KIVU,1990-02-16,H,55.0,27
1125,8119,protestant,kalungu,pedagogie,FD,MANIEMA,1991-04-12,H,61.0,26
1126,8286,protestant,kalungu,pedagogie,FSDC,NORD-KIVU,1992-11-12,F,65.0,24
1127,8382,protestant,kalungu,vétérinaire,FSDC,NORD-KIVU,1967-11-23,H,53.0,49
1128,8473,protestant,kalungu,sociale,FD,SUD-KIVU,1992-03-25,F,55.0,25
1129,8519,protestant,kalungu,pedagogie,FT,SUD-KIVU,1993-10-03,H,60.0,23
1130,8748,protestant,kalungu,sociale,FSDC,SUD-KIVU,1992-09-05,H,56.0,24
1131,9268,protestant,kalungu,pedagogie,FD,SUD-KIVU,1993-04-24,H,60.0,24
1132,9288,protestant,kalungu,pedagogie,FPSE,SUD-KIVU,1988-04-02,F,53.0,29
1133,9365,protestant,kalungu,pedagogie,FSEG,SUD-KIVU,1992-11-05,F,54.0,24
1134,9491,protestant,kalungu,latin philo,FD,NORD-KIVU,1986-02-27,H,53.0,31
1135,9587,protestant,kalungu,pedagogie,FSDC,NORD-KIVU,1984-07-07,F,51.0,33
1136,9593,protestant,kalungu,pedagogie,FT,SUD-KIVU,1992-06-03,H,61.0,25
1137,9750,protestant,kalungu,pedagogie,FPSE,NORD-KIVU,1987-02-02,F,51.0,30
1138,9924,protestant,kalungu,sociale,FSTA,NORD-KIVU,1996-01-01,H,60.0,21
1139,9972,protestant,kalungu,pedagogie,FPSE,NORD-KIVU,1995-12-10,F,56.0,21
1140,10211,protestant,kalungu,pedagogie,FSTA,NORD-KIVU,1996-01-17,H,60.0,21
1141,10284,protestant,kalungu,pedagogie,FM,NORD-KIVU,1994-01-23,H,54.0,23
1142,10369,protestant,kalungu,math-physique,FSTA,NORD-KIVU,1995-05-31,H,62.0,22
1143,10381,protestant,kalungu,math-physique,FSTA,NORD-KIVU,1996-02-22,H,55.0,21
1144,10431,protestant,kalungu,pedagogie,FD,SUD-KIVU,1991-11-05,H,51.0,25
1145,10662,protestant,kalungu,pedagogie,FD,SUD-KIVU,1995-12-03,H,63.0,21
1146,10778,protestant,kalungu,math-physique,FSDC,NORD-KIVU,1997-01-03,F,51.0,20
1147,10842,protestant,kalungu,pedagogie,FSEG,KINSHASA,1994-12-12,F,55.0,22
1148,11411,protestant,kalungu,sociale,FD,SUD-KIVU,1994-06-04,H,53.0,23
1149,11677,protestant,kalungu,sociale,FSDC,SUD-KIVU,1993-12-19,F,52.0,23
1150,11691,protestant,kalungu,pedagogie,FSEG,SUD-KIVU,1995-02-10,F,61.0,22
1151,11771,protestant,kalungu,pedagogie,FD,MANIEMA,1998-04-06,F,60.0,19
1152,12077,privé,kalungu,commmerciale et adm,FSEG,SUD-KIVU,1996-02-28,H,51.0,21
1153,12126,privé,kalungu,pedagogie,FSTA,NORD-KIVU,1997-03-25,H,62.0,20
1154,12173,publique,kalungu,pedagogie,FPSE,SUD-KIVU,1994-11-25,F,50.0,22
1155,1752,privé,la pereaux,sociale,FD,SUD-KIVU,1989-04-30,F,53.0,28
1156,6692,privé,la pereaux,sociale,FSDC,SUD-KIVU,1989-06-20,H,68.0,28
1157,8141,privé,la pereaux,sociale,FD,SUD-KIVU,1994-05-22,H,51.0,23
1158,10441,privé,la pereaux,sociale,FSDC,SUD-KIVU,1981-03-20,F,62.0,36
1159,11823,privé,la pereaux,construction,FSTA,SUD-KIVU,1995-09-07,H,58.0,21
1160,11843,privé,la pereaux,sociale,FD,NORD-KIVU,1993-11-20,H,55.0,23
1161,9394,privé,kiyabo,sociale,FSEG,NORD-KIVU,1990-01-03,H,59.0,27
1162,9569,privé,kiyabo,sociale,FSEG,NORD-KIVU,1994-06-24,F,62.0,23
1163,11408,privé,kiyabo,pedagogie,FD,NORD-KIVU,1992-09-20,H,51.0,24
1164,4490,privé,pilote de katana,math-physique,FSTA,MANIEMA,1986-04-17,H,50.0,31
1165,9046,privé,pilote de katana,sociale,FSEG,MANIEMA,1993-06-06,H,54.0,24
1166,9093,privé,pilote de katana,bio-chimie,FSEG,MANIEMA,1991-06-19,H,65.0,26
1167,9730,privé,pilote de katana,math-physique,FSEG,MANIEMA,1993-01-10,H,55.0,24
1168,10568,privé,pilote de katana,bio-chimie,FSTA,SUD-KIVU,1995-10-08,H,59.0,21
1169,10926,privé,pilote de katana,sociale,FSEG,MANIEMA,1992-02-02,H,52.0,25
1170,3578,catholique,malikia wa bingu,pedagogie,FD,NORD-KIVU,1979-09-30,F,62.0,37
1171,4300,catholique,malikia wa bingu,commerciale informatique,FSTA,NORD-KIVU,1990-07-21,F,66.0,26
1172,4341,catholique,malikia wa bingu,commerciale informatique,FSEG,NORD-KIVU,1990-12-28,F,56.0,26
1173,4342,catholique,malikia wa bingu,inconnu,FSEG,NORD-KIVU,1988-12-25,F,50.0,28
1174,4612,catholique,malikia wa bingu,commerciale informatique,FSTA,NORD-KIVU,1991-06-19,F,58.0,26
1175,4858,catholique,malikia wa bingu,commmerciale et adm,FD,NORD-KIVU,1991-02-04,F,54.0,26
1176,5674,catholique,malikia wa bingu,commmerciale et adm,FSEG,NORD-KIVU,1990-11-21,F,51.0,26
1177,5822,catholique,malikia wa bingu,bio-chimie,FSEG,KINSHASA,1990-11-01,F,58.0,26
1178,6044,catholique,malikia wa bingu,bio-chimie,FSDC,NORD-KIVU,1987-09-27,H,59.0,29
1179,7040,catholique,malikia wa bingu,pedagogie,FPSE,SUD-KIVU,1975-12-19,F,51.0,41
1180,7133,catholique,malikia wa bingu,bio-chimie,FSEG,NORD-KIVU,1992-08-18,F,52.0,24
1181,7604,catholique,malikia wa bingu,commmerciale et adm,FSTA,NORD-KIVU,1993-11-01,F,53.0,23
1182,9639,catholique,malikia wa bingu,bio-chimie,FSDC,NORD-KIVU,1993-03-06,F,52.0,24
1183,9719,catholique,malikia wa bingu,pedagogie,FSDC,NORD-KIVU,1995-01-18,F,57.0,22
1184,10806,catholique,malikia wa bingu,bio-chimie,FM,NORD-KIVU,1996-01-26,F,50.0,21
1185,11586,catholique,malikia wa bingu,commerciale informatique,FSEG,NORD-KIVU,1996-12-12,F,62.0,20
1186,11786,catholique,malikia wa bingu,commerciale informatique,FSEG,NORD-KIVU,1998-11-17,F,57.0,18
1187,11848,catholique,malikia wa bingu,pedagogie,FSDC,NORD-KIVU,1993-03-06,F,54.0,24
1188,12001,catholique,malikia wa bingu,commerciale informatique,FSEG,NORD-KIVU,1996-05-15,F,56.0,21
1189,12002,privé,malikia wa bingu,commerciale informatique,FD,NORD-KIVU,1995-08-17,H,60.0,21
1190,12006,catholique,malikia wa bingu,commerciale informatique,FSEG,NORD-KIVU,1994-01-04,F,52.0,23
1191,12007,catholique,malikia wa bingu,bio-chimie,FD,NORD-KIVU,1985-03-15,F,53.0,32
1192,12014,catholique,malikia wa bingu,pedagogie,FSDC,NORD-KIVU,1996-02-15,F,66.0,21
1193,6349,privé,la sapiniere,latin philo,FD,SUD-KIVU,1985-05-22,H,55.0,32
1194,7766,privé,la sapiniere,latin philo,FD,SUD-KIVU,1989-12-23,H,50.0,27
1195,10671,privé,la sapiniere,pedagogie,FSEG,SUD-KIVU,1993-02-25,H,67.0,24
1196,12254,privé,la sapiniere,latin philo,FD,SUD-KIVU,1993-01-30,H,50.0,24
1197,3159,privé,moria,pedagogie,FSDC,NORD-KIVU,1982-07-06,H,52.0,35
1198,3756,privé,moria,pedagogie,FSEG,NORD-KIVU,1983-06-10,H,52.0,34
1199,3864,privé,moria,pedagogie,FSEG,NORD-KIVU,1988-02-28,F,51.0,29
1200,4375,privé,moria,pedagogie,FD,SUD-KIVU,1991-03-15,H,50.0,26
1201,4475,privé,moria,pedagogie,FSEG,SUD-KIVU,1983-12-05,H,50.0,33
1202,4672,privé,moria,pedagogie,FD,NORD-KIVU,1983-08-12,H,50.0,33
1203,4988,privé,moria,pedagogie,FSDC,NORD-KIVU,1987-06-30,F,52.0,30
1204,5097,privé,moria,pedagogie,FPSE,NORD-KIVU,1987-02-10,H,53.0,30
1205,6367,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1992-01-13,H,53.0,25
1206,6405,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1990-10-21,H,67.0,26
1207,6622,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1993-02-20,F,58.0,24
1208,8193,privé,moria,pedagogie,FSTA,SUD-KIVU,1993-02-22,H,52.0,24
1209,8272,privé,moria,pedagogie,FSDC,NORD-KIVU,1992-02-18,F,52.0,25
1210,8288,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1992-04-20,F,52.0,25
1211,8436,privé,moria,pedagogie,FSDC,NORD-KIVU,1992-03-08,H,61.0,25
1212,8673,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1993-05-10,F,50.0,24
1213,8708,privé,moria,pedagogie,FSDC,NORD-KIVU,1993-10-10,H,58.0,23
1214,8993,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1991-06-02,H,53.0,26
1215,9085,privé,moria,sociale,FD,NORD-KIVU,1994-04-06,F,58.0,23
1216,9149,privé,moria,pedagogie,FPSE,NORD-KIVU,1994-08-08,H,51.0,22
1217,9192,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1996-04-08,H,56.0,21
1218,9206,privé,moria,sociale,FSEG,NORD-KIVU,1994-02-19,F,64.0,23
1219,9209,privé,moria,sociale,FD,NORD-KIVU,1995-11-13,F,62.0,21
1220,9281,privé,moria,pedagogie,FSDC,NORD-KIVU,1993-04-10,F,57.0,24
1221,9284,privé,moria,sociale,FSEG,NORD-KIVU,1993-12-25,F,56.0,23
1222,9344,privé,moria,sociale,FD,NORD-KIVU,1991-12-31,H,60.0,25
1223,9377,privé,moria,pedagogie,FSEG,SUD-KIVU,1992-12-07,F,64.0,24
1224,9439,privé,moria,sociale,FD,NORD-KIVU,1994-01-20,F,62.0,23
1225,9455,privé,moria,sociale,FSDC,NORD-KIVU,1990-12-25,H,52.0,26
1226,9739,privé,moria,sociale,FSEG,NORD-KIVU,1994-06-10,H,50.0,23
1227,10014,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1990-06-30,H,58.0,27
1228,10146,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1994-03-20,H,55.0,23
1229,10163,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1994-04-23,F,51.0,23
1230,10264,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1994-08-23,F,52.0,22
1231,10281,privé,moria,sociale,FSEG,NORD-KIVU,1994-09-14,F,51.0,22
1232,10296,privé,moria,pedagogie,FD,NORD-KIVU,1993-10-01,F,55.0,23
1233,10426,privé,moria,commmerciale et adm,FD,NORD-KIVU,1992-08-24,F,50.0,24
1234,10565,privé,moria,pedagogie,FSDC,NORD-KIVU,1995-11-09,F,58.0,21
1235,10570,privé,moria,pedagogie,FM,NORD-KIVU,1994-12-27,F,52.0,22
1236,10641,privé,moria,commmerciale et adm,FSTA,NORD-KIVU,1993-02-02,H,52.0,24
1237,10733,privé,moria,pedagogie,FD,NORD-KIVU,1993-12-17,F,58.0,23
1238,10740,privé,moria,commmerciale et adm,FSTA,NORD-KIVU,1995-11-30,H,62.0,21
1239,10893,privé,moria,commmerciale et adm,FSEG,NORD-KIVU,1994-01-10,H,52.0,23
1240,10927,privé,moria,sociale,FD,NORD-KIVU,1996-08-18,H,56.0,20
1241,11436,publique,moria,sociale,FD,NORD-KIVU,1994-12-21,F,56.0,22
1242,11531,privé,moria,pedagogie,FD,NORD-KIVU,1996-06-17,H,58.0,21
1243,11748,privé,moria,sociale,FSTA,SUD-KIVU,1994-12-25,H,61.0,22
1244,11769,publique,moria,sociale,FSTA,NORD-KIVU,1996-06-30,F,51.0,21
1245,11842,publique,moria,sociale,FM,NORD-KIVU,1997-02-06,H,55.0,20
1246,11873,privé,moria,pedagogie,FSTA,SUD-KIVU,1994-11-06,H,51.0,22
1247,11891,privé,moria,pedagogie,FD,KINSHASA,1995-07-18,F,51.0,21
1248,12052,privé,moria,sociale,FD,NORD-KIVU,1995-12-12,F,55.0,21
1249,12053,protestant,moria,pedagogie,FSEG,NORD-KIVU,1997-09-07,F,60.0,19
1250,12143,protestant,moria,pedagogie,FM,NORD-KIVU,1993-12-05,H,53.0,23
1251,12206,privé,moria,commerciale informatique,FD,NORD-KIVU,1994-01-18,H,51.0,23
1252,12220,privé,moria,commerciale informatique,FD,NORD-KIVU,1996-06-16,H,50.0,21
1253,6335,catholique,masikilizano,sociale,FD,NORD-KIVU,1990-08-08,F,55.0,26
1254,11904,catholique,masikilizano,sociale,FD,NORD-KIVU,1996-09-04,H,65.0,20
1255,12216,privé,masikilizano,bio-chimie,FSEG,NORD-KIVU,1993-08-20,F,60.0,23
1256,3914,publique,mawato,pedagogie,FSEG,NORD-KIVU,1986-02-26,H,59.0,31
1257,4032,publique,mawato,pedagogie,FD,NORD-KIVU,1988-01-10,H,52.0,29
1258,4168,publique,mawato,pedagogie,FSEG,NORD-KIVU,1990-07-07,F,52.0,27
1259,6153,publique,mawato,bio-chimie,FSEG,SUD-KIVU,1988-10-09,H,55.0,28
1260,6204,publique,mawato,pedagogie,FD,NORD-KIVU,1986-05-15,H,51.0,31
1261,7060,publique,mawato,pedagogie,FSEG,SUD-KIVU,1990-08-17,H,63.0,26
1262,7211,publique,mawato,math-physique,FSEG,SUD-KIVU,1990-06-26,H,50.0,27
1263,7647,publique,mawato,math-physique,FSTA,SUD-KIVU,1992-05-02,H,61.0,25
1264,7736,publique,mawato,pedagogie,FD,SUD-KIVU,1991-09-05,H,71.0,25
1265,8095,publique,mawato,pedagogie,FT,NORD-KIVU,1982-04-12,H,53.0,35
